gu,dong,number,기준_년분기_코드,행정동_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,보증금(만원)_전세,임대료(만원)_전세,임대면적_전세,보증금(만원)_월세,임대료(만원)_월세,임대면적_월세
성동구,송정동,2972,20242,11200720,44,2.0,,,1.0,5.0,,1.0,,,,,,,,,,,,17.0,21273.21153846154,0.0,43.05461538461539,3921.142433234421,49.281899109792285,32.30679525222552
성동구,용답동,5284,20242,11200790,82,7.0,2.0,,,8.0,,1.0,,,,,1.0,,,,,,2.0,11.0,20270.60185185185,0.0,28.52164814814815,3328.272363150868,59.504672897196265,29.331789052069425
성동구,왕십리도선동,5162,20242,11200535,189,4.0,4.0,,2.0,20.0,2.0,2.0,,2.0,,,,,,,,,,26.0,,,,,,
성동구,금호2.3가동,3598,20242,11200615,135,3.0,2.0,,,13.0,,1.0,,,,,,,,,,,,46.0,,,,,,
성동구,옥수동,3217,20242,11200645,129,4.0,2.0,,,10.0,2.0,2.0,1.0,1.0,,,,,,,,,2.0,45.0,60952.59424460432,0.0,77.7748345323741,18291.55833333333,174.945,70.76033333333334
광진구,화양동,14966,20242,11215710,167,3.0,5.0,1.0,,17.0,,2.0,2.0,1.0,34.0,,,1.0,,,,,2.0,16.0,17361.9265442404,0.0,26.5085141903172,2512.128903122498,57.28903122497999,22.51695356285028
광진구,군자동,7040,20242,11215730,135,5.0,5.0,,1.0,12.0,1.0,2.0,,,20.0,,,1.0,,,,,,23.0,19489.2807424594,0.0,35.33505800464037,4165.7248953974895,50.5428870292887,28.919571129707112
광진구,중곡1동,4885,20242,11215740,74,2.0,,,,10.0,1.0,,,,,,1.0,,,,,,,19.0,,,,,,
광진구,중곡2동,5225,20242,11215750,104,2.0,4.0,,,14.0,1.0,1.0,,,,,,,,,,,2.0,21.0,,,,,,
광진구,중곡3동,4463,20242,11215760,97,3.0,1.0,,1.0,9.0,,2.0,,,,,1.0,,,,,,1.0,29.0,,,,,,
광진구,중곡4동,5430,20242,11215770,105,2.0,2.0,,,7.0,,1.0,1.0,2.0,,,,,,,,,,37.0,,,,,,
광진구,능동,3927,20242,11215780,47,4.0,,,1.0,5.0,,1.0,,1.0,,,,,,,,,1.0,5.0,19817.728021978022,0.0,34.58456043956044,5274.218475073314,52.2991202346041,30.71900293255132
광진구,구의1동,7638,20242,11215850,77,2.0,4.0,,,9.0,1.0,,1.0,1.0,,,,,,,,,1.0,16.0,,,,,,
광진구,구의2동,4441,20242,11215860,112,3.0,2.0,,1.0,9.0,3.0,2.0,,,1.0,,,,,,,,1.0,24.0,,,,,,
광진구,구의3동,4375,20242,11215870,133,5.0,4.0,,,16.0,2.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,25.0,,,,,,
광진구,광장동,2312,20242,11215810,139,5.0,9.0,,,9.0,3.0,3.0,3.0,1.0,11.0,,,,,,,,1.0,32.0,54981.47818499128,0.0,76.22308900523561,18983.696275071638,100.6704871060172,65.3358452722063
광진구,자양1동,6650,20242,11215820,106,3.0,4.0,1.0,,14.0,1.0,1.0,,,2.0,,,,,,,,,17.0,,,,,,
광진구,자양2동,4448,20242,11215830,95,2.0,1.0,,,8.0,2.0,4.0,2.0,1.0,,,1.0,,,,,,,21.0,,,,,,
광진구,자양3동,3224,20242,11215840,105,2.0,6.0,,,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,30.0,,,,,,
광진구,자양4동,6056,20242,11215847,106,5.0,2.0,,1.0,15.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,16.0,,,,,,
동대문구,회기동,4663,20242,11230710,84,3.0,5.0,1.0,,10.0,1.0,3.0,1.0,1.0,14.0,,,,,,,,,10.0,21542.022935779816,0.0,42.376009174311925,2644.572192513369,60.72014260249554,28.26180035650624
동대문구,휘경1동,4584,20242,11230720,82,2.0,1.0,,,12.0,,,,,,,,,1.0,,,,3.0,18.0,,,,,,
동대문구,휘경2동,6757,20242,11230730,84,5.0,1.0,1.0,,5.0,1.0,2.0,3.0,3.0,4.0,,,,,,,,,27.0,,,,,,
동대문구,청량리동,5353,20242,11230705,154,9.0,4.0,1.0,,16.0,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,34.0,22870.977064220184,0.0,50.11706422018349,3410.668941979522,68.6160409556314,35.34448805460751
동대문구,용신동,12739,20242,11230536,231,10.0,8.0,1.0,4.0,20.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,,,,5.0,41.0,,,,,,
동대문구,제기동,7614,20242,11230545,288,4.0,5.0,,1.0,22.0,2.0,2.0,2.0,1.0,1.0,,3.0,,14.0,,,,1.0,30.0,22393.287925696597,0.0,43.593839009287926,3286.337171052632,57.26809210526316,31.912171052631574
동대문구,전농1동,7804,20242,11230560,152,5.0,2.0,,1.0,13.0,3.0,1.0,1.0,1.0,,,,1.0,5.0,,,,3.0,35.0,,,,,,
동대문구,전농2동,2390,20242,11230570,102,2.0,2.0,,,12.0,3.0,3.0,2.0,1.0,27.0,,,,,,,,,15.0,,,,,,
동대문구,답십리2동,4702,20242,11230610,108,3.0,2.0,,2.0,13.0,3.0,1.0,,,,,3.0,,,,,,,19.0,,,,,,
동대문구,장안1동,8454,20242,11230650,192,5.0,11.0,,4.0,26.0,2.0,2.0,2.0,,,,,,,,,,1.0,43.0,,,,,,
동대문구,장안2동,5385,20242,11230660,168,3.0,2.0,,2.0,21.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,38.0,,,,,,
동대문구,이문1동,6957,20242,11230740,147,5.0,2.0,,,13.0,3.0,,,2.0,30.0,,,,,,,,1.0,26.0,,,,,,
동대문구,이문2동,3342,20242,11230750,71,2.0,,,,6.0,1.0,1.0,,,2.0,,,,,,,,1.0,17.0,,,,,,
동대문구,답십리1동,5385,20242,11230600,124,4.0,5.0,,,9.0,,2.0,1.0,,,,,,,,,,,25.0,,,,,,
중랑구,면목2동,5974,20242,11260520,112,3.0,,,1.0,11.0,2.0,2.0,,,,,8.0,,1.0,,,,,25.0,,,,,,
중랑구,면목4동,3987,20242,11260540,61,2.0,,,,5.0,1.0,1.0,1.0,,,,,,,,,,1.0,15.0,,,,,,
중랑구,면목5동,2192,20242,11260550,42,2.0,1.0,,,3.0,,,,,,,4.0,,,,,,,13.0,,,,,,
중랑구,면목7동,4781,20242,11260570,108,2.0,2.0,,1.0,11.0,,1.0,,,,,1.0,,,,,,,18.0,,,,,,
중랑구,상봉1동,3546,20242,11260580,78,3.0,1.0,,1.0,8.0,2.0,1.0,2.0,1.0,,,,,,,,,4.0,12.0,,,,,,
중랑구,상봉2동,8018,20242,11260590,127,4.0,3.0,,1.0,10.0,,,,,,,,2.0,2.0,,,1.0,1.0,18.0,,,,,,
중랑구,중화1동,3625,20242,11260600,79,2.0,1.0,,1.0,7.0,1.0,2.0,2.0,1.0,,,,,,,,,,14.0,,,,,,
중랑구,중화2동,7506,20242,11260610,123,2.0,3.0,,,14.0,,,,,,,2.0,,,,,,3.0,32.0,,,,,,
중랑구,묵1동,5642,20242,11260620,144,4.0,2.0,,2.0,11.0,2.0,1.0,2.0,2.0,,,,,,,,,,34.0,,,,,,
중랑구,묵2동,4296,20242,11260630,92,3.0,4.0,,,7.0,,2.0,,,,,,1.0,,,,,1.0,19.0,,,,,,
중랑구,망우3동,3998,20242,11260660,54,1.0,1.0,,1.0,3.0,,2.0,,1.0,,,3.0,,,,,,,11.0,,,,,,
중랑구,신내1동,4067,20242,11260680,160,3.0,2.0,1.0,,13.0,2.0,2.0,,,,,,,,,,,1.0,53.0,,,,,,
중랑구,신내2동,3192,20242,11260690,104,6.0,3.0,,,12.0,3.0,4.0,,,,,,,,,,,,21.0,,,,,,
중랑구,면목본동,9335,20242,11260565,168,4.0,2.0,,,18.0,1.0,2.0,,,,,13.0,,1.0,,,,1.0,30.0,,,,,,
중랑구,면목3.8동,6289,20242,11260575,150,4.0,1.0,1.0,,17.0,1.0,2.0,2.0,1.0,8.0,,,,1.0,,,,1.0,34.0,,,,,,
중랑구,망우본동,8564,20242,11260655,238,9.0,4.0,1.0,4.0,25.0,1.0,2.0,3.0,4.0,,,9.0,,2.0,,,,2.0,54.0,,,,,,
성북구,돈암1동,1909,20242,11290580,42,1.0,,,,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,15.0,,,,,,
성북구,돈암2동,1772,20242,11290590,88,4.0,2.0,,,4.0,6.0,1.0,,,,,,1.0,,,,,,38.0,,,,,,
